dataset,p,max_iterations,alpha,tabu_tenure,best_solution,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
RGP100,9,1000,0.3,17,"[40, 35, 61, 52, 51, 52, 73, 51, 35, 35, 27, 27, 35, 61, 40, 40, 52, 18, 40, 73, 61, 40, 27, 52, 27, 61, 27, 52, 27, 18, 31, 52, 40, 40, 35, 73, 52, 40, 18, 40, 73, 73, 27, 61, 18, 18, 18, 61, 73, 52, 51, 52, 27, 52, 40, 27, 18, 27, 40, 73, 61, 31, 73, 40, 40, 73, 73, 51, 52, 51, 51, 27, 73, 35, 35, 40, 27, 61, 73, 61, 31, 73, 73, 27, 27, 52, 73, 27, 18, 31, 73, 27, 40, 61, 61, 27, 52, 18, 52, 27]",1274.95006,1287.985213,10.21037454,29.76180658,164,174
RGP100,9,1000,0.3,18,"[58, 2, 58, 20, 5, 20, 2, 58, 20, 22, 17, 22, 17, 20, 5, 20, 17, 72, 5, 20, 17, 22, 17, 2, 17, 17, 72, 58, 20, 77, 62, 72, 58, 20, 17, 58, 5, 20, 58, 22, 5, 62, 17, 62, 72, 58, 17, 77, 2, 22, 5, 17, 20, 2, 72, 17, 17, 58, 17, 20, 20, 62, 20, 20, 20, 5, 17, 17, 22, 22, 72, 72, 20, 5, 58, 72, 77, 20, 20, 20, 5, 20, 17, 17, 58, 17, 5, 72, 17, 5, 58, 17, 72, 77, 20, 72, 77, 17, 17, 58]",1270.811978,1283.495969,9.78751868,29.12250209,159,152
RGP100,9,1000,0.3,19,"[58, 60, 58, 58, 60, 58, 60, 58, 9, 39, 58, 70, 94, 9, 39, 16, 72, 60, 9, 9, 39, 72, 60, 58, 58, 9, 58, 58, 94, 30, 58, 58, 58, 58, 30, 58, 30, 70, 39, 58, 70, 60, 60, 9, 58, 58, 60, 60, 9, 58, 39, 72, 72, 9, 39, 70, 30, 58, 39, 60, 94, 94, 94, 9, 58, 39, 70, 9, 39, 70, 72, 72, 60, 94, 58, 72, 94, 39, 39, 70, 16, 58, 70, 9, 58, 39, 94, 70, 58, 16, 58, 60, 39, 94, 39, 39, 94, 39, 39, 9]",1276.685697,1283.704715,5.293676236,30.18967314,165.2,177
RGP100,9,1000,0.3,20,"[60, 82, 19, 20, 19, 20, 60, 52, 20, 78, 53, 82, 82, 20, 52, 20, 52, 60, 19, 20, 21, 34, 60, 52, 19, 19, 53, 52, 20, 82, 53, 52, 19, 34, 19, 34, 52, 82, 78, 34, 19, 60, 60, 53, 53, 21, 60, 60, 19, 52, 78, 52, 53, 52, 19, 19, 34, 82, 52, 60, 78, 20, 53, 20, 19, 82, 19, 34, 60, 78, 53, 52, 82, 34, 34, 34, 20, 78, 19, 20, 34, 82, 34, 78, 21, 52, 53, 53, 53, 53, 53, 60, 60, 52, 20, 34, 53, 82, 52, 19]",1276.498441,1285.112554,10.24193489,29.05424299,159,154
RGP100,12,1000,0.3,21,"[58, 2, 58, 58, 5, 58, 76, 58, 14, 78, 36, 14, 91, 14, 14, 76, 76, 30, 19, 14, 54, 14, 54, 2, 14, 100, 58, 58, 36, 30, 76, 58, 58, 76, 30, 36, 14, 54, 78, 76, 5, 54, 5, 14, 58, 58, 5, 5, 2, 76, 5, 54, 91, 54, 54, 19, 30, 58, 76, 91, 14, 78, 78, 5, 19, 5, 19, 5, 2, 76, 76, 76, 91, 5, 58, 76, 14, 78, 19, 91, 5, 2, 30, 5, 5, 2, 5, 14, 58, 91, 91, 2, 36, 100, 30, 5, 76, 36, 91, 100]",1215.802938,1231.261341,10.41410198,40.41091743,172.2,165
RGP100,12,1000,0.3,22,"[76, 54, 3, 76, 68, 3, 7, 3, 3, 26, 18, 79, 38, 3, 76, 76, 26, 18, 79, 79, 21, 68, 54, 26, 7, 26, 97, 66, 26, 18, 76, 97, 38, 68, 79, 54, 68, 38, 66, 76, 66, 97, 66, 66, 97, 18, 79, 79, 38, 76, 68, 54, 97, 54, 54, 3, 18, 3, 3, 18, 3, 7, 97, 38, 97, 66, 21, 68, 97, 38, 76, 76, 7, 38, 97, 76, 54, 21, 79, 3, 79, 66, 18, 76, 54, 26, 7, 79, 18, 97, 7, 66, 54, 97, 76, 79, 97, 7, 7, 26]",1218.391741,1230.495831,6.753475491,40.16258082,171.4,177
RGP100,12,1000,0.3,23,"[1, 35, 1, 35, 74, 35, 7, 35, 19, 35, 53, 81, 35, 1, 25, 40, 35, 18, 19, 53, 48, 40, 1, 35, 25, 19, 53, 1, 35, 35, 1, 74, 38, 74, 35, 35, 1, 38, 1, 40, 1, 81, 74, 53, 53, 18, 18, 48, 38, 74, 18, 53, 53, 38, 40, 48, 18, 1, 40, 1, 48, 74, 53, 38, 19, 1, 19, 53, 1, 38, 74, 53, 7, 74, 35, 1, 48, 53, 19, 1, 81, 74, 1, 25, 38, 1, 53, 53, 18, 38, 1, 81, 40, 74, 7, 74, 53, 7, 7, 19]",1217.399814,1229.609481,6.863295746,39.94919662,170.2,178
RGP100,12,1000,0.3,24,"[76, 95, 56, 20, 74, 20, 73, 51, 20, 74, 36, 12, 74, 20, 76, 76, 26, 51, 26, 20, 33, 12, 50, 26, 33, 26, 12, 74, 26, 95, 76, 95, 33, 74, 74, 36, 73, 33, 95, 76, 50, 73, 20, 95, 26, 73, 33, 56, 73, 50, 51, 50, 20, 74, 33, 56, 26, 33, 95, 73, 26, 74, 26, 20, 95, 73, 76, 51, 50, 76, 76, 76, 73, 74, 33, 76, 20, 20, 20, 26, 74, 73, 73, 95, 95, 26, 73, 95, 95, 26, 73, 95, 56, 74, 95, 74, 76, 36, 12, 26]",1210.589906,1227.858847,11.25692408,49.05055933,208.6,214
