dataset,p,max_iterations,alpha,tabu_tenure,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
CAB25,5,800,0.3,11,"[4, 17, 17, 4, 4, 4, 7, 7, 4, 7, 4, 12, 4, 14, 4, 7, 17, 17, 12, 17, 4, 12, 12, 14, 17]",4(L2); 17(L2); 7(L1); 12(L1); 14(L1),5672470312.9379,5954362476.1227,249118287.61336926,1.3302528858184814,93.4,92
TR40,4,1000,0.3,7,"[1, 35, 3, 24, 35, 24, 35, 24, 24, 3, 24, 35, 3, 1, 35, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 3, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,10004690567.567112,637318558.7931845,2.3019348621368407,111.4,113
TR40,4,1000,0.3,8,"[1, 31, 3, 24, 31, 24, 31, 24, 24, 3, 24, 31, 3, 1, 3, 31, 3, 1, 24, 3, 3, 3, 3, 24, 31, 31, 3, 31, 24, 31, 31, 3, 3, 1, 31, 3, 31, 3, 3, 1]",1(L1); 31(L1); 3(L2); 24(L2),9261546917.297054,9590620599.297709,341492678.2253856,2.507904052734375,121.8,134
TR40,4,1000,0.3,9,"[1, 35, 3, 24, 35, 24, 35, 24, 24, 3, 24, 35, 3, 1, 35, 35, 3, 1, 24, 3, 3, 3, 3, 24, 35, 35, 3, 35, 24, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 24(L2),9246245206.481253,9836020898.746588,695951870.561192,2.437991714477539,117.4,125
TR40,4,1000,0.3,10,"[14, 14, 3, 22, 14, 19, 14, 22, 19, 3, 19, 14, 3, 14, 3, 14, 22, 14, 19, 22, 3, 22, 3, 19, 14, 14, 3, 14, 3, 14, 14, 3, 22, 22, 14, 3, 14, 3, 3, 14]",14(L2); 3(L2); 22(L1); 19(L1),9335240827.645716,9896624890.89666,570928704.1282742,2.403533363342285,113.2,125
TR40,6,1000,0.3,10,"[1, 35, 3, 22, 35, 19, 35, 22, 19, 32, 19, 35, 3, 1, 32, 35, 22, 1, 19, 32, 32, 22, 3, 19, 35, 35, 32, 35, 3, 35, 1, 32, 22, 22, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L1); 22(L1); 19(L1); 32(L1),7783631986.110522,8246561147.2953005,380068456.6870241,3.590006446838379,119.0,117
TR40,6,1000,0.3,11,"[1, 35, 3, 22, 27, 19, 35, 22, 19, 3, 19, 35, 3, 1, 27, 35, 22, 1, 19, 22, 3, 22, 3, 19, 35, 35, 27, 35, 3, 35, 1, 3, 22, 22, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 22(L1); 27(L1); 19(L1),7859871654.144468,8536008004.279142,873653547.3537327,3.460263395309448,118.0,116
TR40,6,1000,0.3,12,"[1, 35, 3, 4, 35, 6, 35, 4, 6, 3, 6, 35, 3, 1, 35, 35, 4, 1, 19, 3, 3, 3, 6, 19, 35, 35, 3, 35, 6, 35, 1, 3, 3, 1, 35, 3, 35, 6, 3, 1]",1(L2); 35(L1); 3(L2); 4(L1); 6(L1); 19(L1),8006816906.139254,8476995209.810862,384476193.6587157,3.4619781970977783,117.6,132
TR55,5,1000,0.3,11,"[1, 15, 15, 4, 4, 15, 7, 26, 15, 15, 4, 7, 7, 4, 15, 26, 15, 4, 1, 4, 15, 15, 1, 4, 1, 26, 7, 4, 4, 26, 4, 7, 7, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 7(L1); 26(L2),20963213555.3,22715524123.840004,1177192491.3761063,5.603298473358154,132.2,117
TR55,5,1000,0.3,12,"[1, 15, 15, 4, 32, 15, 32, 32, 15, 15, 32, 32, 26, 4, 15, 26, 15, 32, 1, 4, 15, 15, 1, 32, 1, 26, 32, 4, 4, 26, 4, 32, 32, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 15, 1, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L2); 32(L2); 26(L2),21095917461.1,22371900305.54,847337915.5843984,4.957791137695312,119.6,112
TR55,5,1000,0.3,13,"[1, 15, 15, 4, 31, 15, 30, 30, 15, 15, 31, 30, 30, 4, 15, 30, 15, 4, 1, 4, 15, 15, 1, 31, 1, 30, 30, 4, 4, 30, 31, 30, 30, 1, 15, 15, 4, 15, 4, 30, 15, 15, 4, 30, 31, 15, 31, 15, 4, 15, 15, 30, 4, 1, 1]",1(L1); 15(L1); 4(L1); 31(L1); 30(L2),22213261083.800003,23534958690.96,1835605901.87589,5.453861045837402,132.8,132
TR55,7,1000,0.3,12,"[1, 15, 15, 4, 31, 37, 33, 26, 15, 15, 31, 26, 26, 4, 15, 26, 15, 4, 1, 37, 37, 15, 1, 31, 1, 26, 33, 4, 4, 26, 31, 4, 33, 1, 15, 15, 37, 15, 37, 26, 15, 15, 4, 4, 31, 37, 31, 15, 4, 15, 15, 26, 4, 1, 1]",1(L1); 15(L1); 4(L1); 31(L1); 37(L1); 33(L1); 26(L2),18058594401.8,21160271697.96,1765050307.8163004,7.288165473937989,132.6,125
TR55,7,1000,0.3,13,"[1, 15, 3, 4, 31, 3, 7, 26, 15, 15, 31, 7, 7, 4, 15, 26, 15, 4, 1, 4, 3, 15, 1, 31, 1, 26, 7, 4, 4, 26, 31, 7, 7, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 31, 3, 31, 15, 4, 3, 3, 26, 4, 1, 1]",1(L1); 15(L1); 3(L1); 4(L1); 31(L1); 7(L1); 26(L2),18908463491.7,20131484078.68,1098433931.6508787,6.705276346206665,118.0,110
TR55,7,1000,0.3,14,"[1, 19, 15, 4, 31, 37, 30, 30, 15, 15, 31, 30, 30, 37, 15, 30, 15, 4, 19, 37, 37, 15, 1, 31, 1, 30, 30, 4, 4, 30, 31, 30, 30, 19, 15, 15, 37, 15, 37, 30, 15, 19, 4, 30, 31, 37, 31, 15, 4, 15, 15, 30, 4, 19, 1]",1(L1); 19(L1); 15(L1); 4(L1); 31(L1); 37(L1); 30(L2),20372492797.1,20769752440.879997,443290698.5654659,7.149536275863648,131.0,122
TR55,7,1000,0.3,15,"[1, 15, 3, 4, 5, 3, 33, 26, 15, 15, 5, 26, 26, 4, 15, 26, 15, 4, 1, 4, 3, 15, 1, 5, 1, 26, 33, 4, 4, 26, 4, 4, 33, 1, 15, 15, 4, 15, 4, 26, 15, 15, 4, 4, 4, 3, 1, 15, 4, 3, 3, 26, 4, 1, 1]",1(L1); 15(L1); 3(L1); 4(L2); 5(L1); 33(L1); 26(L2),18697807039.899998,20772028947.879997,1638501611.7113261,7.160080528259277,131.4,162
RGP100,9,1000,0.3,17,"[35, 48, 26, 4, 74, 49, 25, 26, 49, 35, 4, 4, 35, 25, 25, 35, 26, 60, 26, 4, 48, 4, 60, 26, 25, 26, 26, 74, 4, 35, 48, 74, 38, 74, 35, 4, 25, 38, 60, 26, 26, 60, 60, 4, 26, 4, 4, 48, 49, 26, 35, 4, 48, 38, 4, 48, 26, 4, 4, 60, 26, 74, 26, 38, 26, 38, 48, 38, 60, 38, 74, 4, 49, 74, 35, 4, 48, 49, 48, 26, 74, 74, 49, 25, 49, 26, 25, 4, 48, 38, 4, 49, 60, 74, 26, 74, 4, 48, 74, 26]",35(L1); 48(L1); 26(L1); 4(L1); 74(L1); 49(L1); 25(L1); 60(L1); 38(L1),125017892000.06865,126579256138.1628,990777739.8436588,31.099569892883302,176.6,216
RGP100,9,1000,0.3,18,"[28, 54, 54, 20, 74, 20, 7, 54, 20, 74, 33, 74, 74, 25, 25, 20, 25, 94, 94, 20, 54, 94, 54, 20, 25, 20, 74, 28, 94, 28, 28, 74, 33, 74, 74, 93, 94, 54, 28, 94, 25, 54, 94, 94, 33, 7, 33, 25, 94, 28, 28, 28, 20, 54, 54, 93, 74, 28, 74, 93, 94, 74, 94, 20, 20, 7, 94, 20, 93, 93, 33, 93, 7, 74, 33, 7, 94, 20, 20, 20, 74, 74, 74, 25, 54, 33, 25, 28, 93, 54, 7, 54, 93, 94, 7, 74, 94, 7, 7, 94]",28(L1); 54(L1); 20(L1); 74(L1); 7(L1); 33(L1); 25(L1); 94(L1); 93(L1),126784379012.36305,127221893201.22714,299825653.2703971,29.51524410247803,166.0,176
RGP100,9,1000,0.3,19,"[80, 24, 9, 24, 47, 80, 66, 24, 9, 10, 24, 47, 80, 9, 18, 24, 72, 18, 9, 9, 24, 72, 50, 24, 24, 24, 72, 72, 24, 18, 18, 72, 47, 50, 10, 72, 50, 66, 66, 9, 50, 50, 66, 24, 72, 18, 47, 9, 9, 50, 18, 72, 72, 47, 72, 50, 24, 24, 24, 18, 24, 50, 80, 9, 9, 66, 24, 9, 50, 80, 72, 72, 66, 10, 24, 72, 72, 10, 47, 80, 47, 66, 10, 72, 10, 80, 66, 72, 18, 72, 80, 24, 72, 72, 10, 72, 24, 80, 80, 9]",80(L1); 24(L1); 9(L1); 47(L1); 66(L1); 10(L1); 18(L1); 72(L1); 50(L1),127232126916.26025,128354306241.37485,1303142263.7481132,28.53255271911621,157.2,172
RGP100,9,1000,0.3,20,"[76, 49, 52, 76, 68, 52, 73, 52, 49, 76, 17, 49, 73, 68, 76, 76, 17, 60, 60, 73, 17, 68, 23, 52, 87, 17, 23, 52, 60, 76, 76, 52, 87, 68, 17, 87, 52, 68, 60, 76, 73, 73, 60, 52, 52, 73, 17, 60, 49, 52, 68, 52, 87, 23, 68, 68, 17, 60, 17, 60, 73, 60, 68, 68, 60, 73, 17, 68, 60, 76, 76, 52, 73, 87, 60, 76, 87, 87, 73, 73, 49, 73, 49, 17, 49, 52, 87, 68, 17, 23, 60, 60, 60, 52, 76, 87, 76, 87, 52, 52]",76(L1); 49(L1); 52(L1); 68(L1); 73(L1); 17(L1); 60(L1); 23(L1); 87(L1),126283890176.94478,128104765012.37434,1238232982.7841902,31.217839097976686,175.2,166
RGP100,12,1000,0.3,21,"[1, 48, 88, 4, 68, 1, 55, 51, 9, 1, 4, 4, 1, 9, 55, 95, 26, 46, 9, 4, 46, 22, 1, 26, 48, 26, 88, 1, 4, 95, 88, 95, 55, 68, 1, 4, 68, 68, 55, 1, 1, 46, 9, 88, 26, 46, 4, 48, 9, 26, 51, 4, 88, 55, 55, 48, 26, 1, 4, 48, 26, 48, 26, 9, 55, 1, 48, 68, 22, 88, 68, 22, 51, 68, 48, 1, 48, 4, 88, 1, 26, 22, 88, 4, 95, 1, 88, 88, 48, 48, 1, 95, 88, 22, 95, 55, 4, 48, 48, 26]",1(L1); 48(L1); 88(L1); 4(L1); 68(L1); 55(L1); 51(L1); 9(L1); 95(L1); 26(L1); 46(L1); 22(L1),121241355603.03505,122624247308.17285,884333867.5228052,39.37627439498901,174.8,166
RGP100,12,1000,0.3,22,"[3, 24, 3, 22, 48, 3, 48, 51, 3, 26, 75, 22, 82, 14, 14, 24, 26, 45, 3, 14, 21, 22, 75, 24, 48, 26, 88, 88, 26, 14, 88, 88, 45, 22, 75, 3, 21, 82, 21, 22, 45, 82, 45, 24, 45, 21, 75, 48, 3, 26, 51, 24, 45, 21, 21, 3, 24, 3, 3, 48, 14, 48, 75, 75, 88, 82, 24, 88, 82, 88, 45, 45, 82, 82, 75, 3, 48, 21, 88, 3, 45, 82, 88, 21, 21, 45, 88, 88, 48, 48, 51, 24, 88, 88, 88, 82, 45, 82, 48, 26]",3(L1); 24(L1); 22(L1); 48(L1); 51(L1); 26(L1); 75(L1); 82(L1); 14(L1); 45(L1); 21(L1); 88(L1),122709909554.67085,123270289630.17334,612646705.9366457,36.87587656974792,161.2,159
RGP100,12,1000,0.3,23,"[80, 2, 80, 4, 5, 80, 73, 51, 26, 39, 36, 4, 80, 5, 5, 36, 26, 46, 5, 4, 46, 4, 87, 26, 87, 26, 5, 39, 4, 5, 39, 32, 32, 73, 4, 36, 73, 32, 39, 26, 5, 73, 5, 4, 26, 46, 5, 5, 73, 26, 51, 4, 87, 2, 4, 4, 26, 4, 46, 73, 26, 39, 26, 5, 51, 39, 32, 5, 39, 80, 32, 32, 73, 5, 36, 4, 87, 39, 73, 80, 5, 73, 73, 5, 5, 80, 87, 51, 5, 5, 4, 4, 36, 32, 32, 39, 4, 80, 80, 26]",80(L1); 2(L1); 4(L1); 5(L1); 73(L1); 51(L1); 26(L1); 39(L1); 36(L1); 46(L1); 87(L1); 32(L1),121144056901.0361,122060413602.89713,591387427.9521737,38.98564972877502,170.6,171
RGP100,12,1000,0.3,24,"[1, 7, 3, 97, 64, 3, 7, 3, 64, 1, 36, 64, 36, 25, 25, 36, 25, 60, 3, 64, 88, 34, 1, 75, 25, 3, 88, 1, 36, 97, 88, 97, 75, 34, 75, 36, 97, 64, 69, 1, 1, 97, 60, 88, 97, 64, 75, 25, 3, 34, 88, 69, 88, 36, 97, 3, 36, 1, 3, 60, 3, 64, 75, 64, 97, 1, 97, 34, 69, 88, 69, 3, 7, 34, 75, 7, 36, 64, 88, 1, 34, 69, 88, 25, 97, 1, 25, 88, 25, 97, 1, 60, 36, 88, 88, 34, 97, 36, 7, 64]",1(L1); 7(L1); 3(L1); 97(L1); 64(L1); 36(L1); 25(L1); 60(L1); 88(L1); 34(L1); 75(L1); 69(L1),121512584872.21289,122413239757.94336,715472630.3117002,39.22385439872742,170.8,167
