dataset,p,max_iterations,alpha,tabu_tenure,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
TR40,3,1000,0.3,7,"[14, 14, 3, 24, 14, 24, 14, 24, 24, 3, 24, 14, 3, 14, 3, 14, 3, 14, 24, 3, 3, 3, 3, 24, 14, 14, 3, 14, 24, 14, 14, 3, 3, 3, 14, 3, 14, 3, 3, 14]",14(L2); 3(L2); 24(L2),10332784615.268745,11097450328.454733,663870006.9404659,1.9070630073547363,115.8,110
TR40,3,1000,0.3,8,"[14, 14, 3, 24, 14, 24, 14, 24, 24, 3, 24, 14, 3, 14, 3, 14, 3, 14, 24, 3, 3, 3, 3, 24, 14, 14, 3, 14, 24, 14, 14, 3, 3, 3, 14, 3, 14, 3, 3, 14]",14(L2); 3(L2); 24(L2),10332784615.268745,11167619292.357027,723455855.23697,1.864018201828003,114.0,116
TR40,3,1000,0.3,9,"[14, 14, 3, 24, 14, 24, 14, 24, 24, 3, 24, 14, 3, 14, 3, 14, 3, 14, 24, 3, 3, 3, 3, 24, 14, 14, 3, 14, 24, 14, 14, 3, 3, 3, 14, 3, 14, 3, 3, 14]",14(L2); 3(L2); 24(L2),10332784615.268745,11135537183.618805,699703185.9554539,1.9837707042694093,120.2,110
TR40,3,1000,0.3,10,"[14, 14, 3, 24, 14, 24, 14, 24, 24, 3, 24, 14, 3, 14, 3, 14, 3, 14, 24, 3, 3, 3, 3, 24, 14, 14, 3, 14, 24, 14, 14, 3, 3, 3, 14, 3, 14, 3, 3, 14]",14(L2); 3(L2); 24(L2),10332784615.268745,11308592189.253399,771180645.2040553,1.939616584777832,114.2,121
