dataset,p,max_iterations,alpha,tabu_tenure,best_solution,selected_hub_capacities,best_cost,avg_cost,std_cost,avg_time,avg_total_iterations,total_iterations_for_best_cost
TR40,5,1000,0.3,10,"[1, 35, 3, 4, 35, 19, 35, 4, 19, 3, 19, 35, 3, 1, 35, 35, 4, 1, 19, 3, 3, 3, 3, 19, 35, 35, 3, 35, 3, 35, 1, 3, 3, 1, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 4(L1); 19(L1),8342545230.294405,9208936848.681574,764037934.0651839,3.1474966526031496,117.2,116
TR40,5,1000,0.3,11,"[1, 26, 3, 3, 26, 19, 26, 3, 19, 3, 19, 26, 3, 31, 26, 26, 3, 1, 19, 3, 3, 3, 3, 19, 31, 26, 3, 26, 3, 26, 31, 3, 3, 1, 31, 3, 26, 3, 3, 1]",1(L1); 26(L1); 3(L3); 19(L1); 31(L1),8790489598.348179,8846196669.630774,55776470.829377085,3.1590662479400633,114.0,115
TR40,5,1000,0.3,12,"[1, 35, 3, 22, 35, 19, 35, 22, 19, 3, 19, 35, 3, 1, 35, 35, 22, 1, 19, 22, 3, 22, 3, 19, 35, 35, 3, 35, 3, 35, 1, 3, 22, 22, 35, 3, 35, 3, 3, 1]",1(L2); 35(L1); 3(L2); 22(L1); 19(L1),8260108828.379229,8503222034.420708,481548590.3963703,3.386023473739624,120.2,112
